open_time	open	high	low	close	volume	close_time	quote_asset_volume	num_trades	taker_buy_base_vol	taker_buy_quote_vol	open_dt	close_dt
1740017700000	96926.76	96926.76	96926.76	96926.76	0.00095	1740018599999	92.080422	1	0.00095	92.080422	2025-02-20 02:15:00+00:00	2025-02-20 02:29:59.999000+00:00
1740018600000	96849.83	96926.76	96680.48	96680.48	0.04271	1740019499999	4139.3757321	4	0.04176	4047.5292761	2025-02-20 02:30:00+00:00	2025-02-20 02:44:59.999000+00:00
1740019500000	96926.76	96926.76	96926.76	96926.76	0.00857	1740020399999	830.6623332	4	0.00857	830.6623332	2025-02-20 02:45:00+00:00	2025-02-20 02:59:59.999000+00:00
1740020400000	97210.49	97265.06	97210.49	97265.06	0.00313	1740021299999	304.3663284	4	0	0	2025-02-20 03:00:00+00:00	2025-02-20 03:14:59.999000+00:00
1740021300000	97265.06	97265.06	97265.06	97265.06	0	1740022199999	0	0	0	0	2025-02-20 03:15:00+00:00	2025-02-20 03:29:59.999000+00:00
1740022200000	97265.06	97265.06	97265.06	97265.06	0	1740023099999	0	0	0	0	2025-02-20 03:30:00+00:00	2025-02-20 03:44:59.999000+00:00
1740023100000	97265.06	97265.06	97265.06	97265.06	0	1740023999999	0	0	0	0	2025-02-20 03:45:00+00:00	2025-02-20 03:59:59.999000+00:00
1740024000000	96995.4	97187.99	96995.4	97187.99	0.00049	1740024899999	47.585523	2	0.0003	29.156397	2025-02-20 04:00:00+00:00	2025-02-20 04:14:59.999000+00:00
1740024900000	97210.84	97345.52	97194.92	97345.52	0.02353	1740025799999	2287.6834594	9	0.02353	2287.6834594	2025-02-20 04:15:00+00:00	2025-02-20 04:29:59.999000+00:00
1740025800000	97345.52	97345.52	97345.52	97345.52	0	1740026699999	0	0	0	0	2025-02-20 04:30:00+00:00	2025-02-20 04:44:59.999000+00:00
1740026700000	97065.37	97065.37	97065.37	97065.37	0.00112	1740027599999	108.7132144	1	0	0	2025-02-20 04:45:00+00:00	2025-02-20 04:59:59.999000+00:00
1740027600000	97065.37	97065.37	97065.37	97065.37	0.00141	1740028499999	136.8621717	1	0	0	2025-02-20 05:00:00+00:00	2025-02-20 05:14:59.999000+00:00
1740028500000	97066.87	97066.87	97066.87	97066.87	0.00007	1740029399999	6.7946809	1	0	0	2025-02-20 05:15:00+00:00	2025-02-20 05:29:59.999000+00:00
1740029400000	97066.87	97066.87	97066.87	97066.87	0	1740030299999	0	0	0	0	2025-02-20 05:30:00+00:00	2025-02-20 05:44:59.999000+00:00
1740030300000	97177.54	97177.54	97065.38	97065.38	0.0014	1740031199999	135.9341528	3	0.0014	135.9341528	2025-02-20 05:45:00+00:00	2025-02-20 05:59:59.999000+00:00
1740031200000	97065.37	97065.37	97049.01	97049.01	0.00315	1740032099999	305.7222139	5	0	0	2025-02-20 06:00:00+00:00	2025-02-20 06:14:59.999000+00:00
1740032100000	97049.01	97049.01	97049.01	97049.01	0	1740032999999	0	0	0	0	2025-02-20 06:15:00+00:00	2025-02-20 06:29:59.999000+00:00
1740033000000	97049.01	97049.01	97049.01	97049.01	0	1740033899999	0	0	0	0	2025-02-20 06:30:00+00:00	2025-02-20 06:44:59.999000+00:00
1740033900000	96818	96818	96818	96818	0.00029	1740034799999	28.07722	1	0	0	2025-02-20 06:45:00+00:00	2025-02-20 06:59:59.999000+00:00
1740034800000	96818	96818	96818	96818	0	1740035699999	0	0	0	0	2025-02-20 07:00:00+00:00	2025-02-20 07:14:59.999000+00:00
1740035700000	96818	96818	96818	96818	0	1740036599999	0	0	0	0	2025-02-20 07:15:00+00:00	2025-02-20 07:29:59.999000+00:00
1740036600000	96818	96818	96818	96818	0	1740037499999	0	0	0	0	2025-02-20 07:30:00+00:00	2025-02-20 07:44:59.999000+00:00
1740037500000	96818	96818	96818	96818	0	1740038399999	0	0	0	0	2025-02-20 07:45:00+00:00	2025-02-20 07:59:59.999000+00:00
1740038400000	96818	96818	96818	96818	0	1740039299999	0	0	0	0	2025-02-20 08:00:00+00:00	2025-02-20 08:14:59.999000+00:00
1740039300000	96818	96818	96818	96818	0	1740040199999	0	0	0	0	2025-02-20 08:15:00+00:00	2025-02-20 08:29:59.999000+00:00
1740040200000	96818	96818	96818	96818	0	1740041099999	0	0	0	0	2025-02-20 08:30:00+00:00	2025-02-20 08:44:59.999000+00:00
1740041100000	96818	96818	96818	96818	0	1740041999999	0	0	0	0	2025-02-20 08:45:00+00:00	2025-02-20 08:59:59.999000+00:00
1740042000000	97271.99	97272	97079.96	97079.96	0.00385	1740042899999	374.3858103	3	0.00327	318.0794335	2025-02-20 09:00:00+00:00	2025-02-20 09:14:59.999000+00:00
1740042900000	97079.96	97079.96	97079.96	97079.96	0	1740043799999	0	0	0	0	2025-02-20 09:15:00+00:00	2025-02-20 09:29:59.999000+00:00
1740043800000	97089.15	97089.15	97089.15	97089.15	0.00015	1740044699999	14.5633725	1	0	0	2025-02-20 09:30:00+00:00	2025-02-20 09:44:59.999000+00:00
1740044700000	97089.15	97089.15	97089.15	97089.15	0	1740045599999	0	0	0	0	2025-02-20 09:45:00+00:00	2025-02-20 09:59:59.999000+00:00
1740045600000	97089.15	97089.15	97089.15	97089.15	0	1740046499999	0	0	0	0	2025-02-20 10:00:00+00:00	2025-02-20 10:14:59.999000+00:00
1740046500000	97089.15	97089.15	97089.15	97089.15	0	1740047399999	0	0	0	0	2025-02-20 10:15:00+00:00	2025-02-20 10:29:59.999000+00:00
1740047400000	97089.15	97089.15	97089.15	97089.15	0	1740048299999	0	0	0	0	2025-02-20 10:30:00+00:00	2025-02-20 10:44:59.999000+00:00
1740048300000	97089.15	97089.15	97089.15	97089.15	0	1740049199999	0	0	0	0	2025-02-20 10:45:00+00:00	2025-02-20 10:59:59.999000+00:00
1740049200000	97089.15	97089.15	97089.15	97089.15	0	1740050099999	0	0	0	0	2025-02-20 11:00:00+00:00	2025-02-20 11:14:59.999000+00:00
1740050100000	97182.31	97402.11	97182.31	97402.11	0.0005	1740050999999	48.646105	2	0.00025	24.3505275	2025-02-20 11:15:00+00:00	2025-02-20 11:29:59.999000+00:00
1740051000000	97402.11	97402.11	97402.11	97402.11	0	1740051899999	0	0	0	0	2025-02-20 11:30:00+00:00	2025-02-20 11:44:59.999000+00:00
1740051900000	97365.79	97365.79	97365.79	97365.79	0.00176	1740052799999	171.3637904	1	0.00176	171.3637904	2025-02-20 11:45:00+00:00	2025-02-20 11:59:59.999000+00:00
1740052800000	97225.68	97225.68	97111.19	97111.19	0.025	1740053699999	2429.5474756	3	0	0	2025-02-20 12:00:00+00:00	2025-02-20 12:14:59.999000+00:00
1740053700000	97111.19	97111.19	97111.19	97111.19	0	1740054599999	0	0	0	0	2025-02-20 12:15:00+00:00	2025-02-20 12:29:59.999000+00:00
1740054600000	97111.19	97111.19	97111.19	97111.19	0	1740055499999	0	0	0	0	2025-02-20 12:30:00+00:00	2025-02-20 12:44:59.999000+00:00
1740055500000	96498.52	97272.15	96498.52	97272.15	0.00152	1740056399999	146.7937949	2	0	0	2025-02-20 12:45:00+00:00	2025-02-20 12:59:59.999000+00:00
1740056400000	97272.15	97272.15	97272.15	97272.15	0	1740057299999	0	0	0	0	2025-02-20 13:00:00+00:00	2025-02-20 13:14:59.999000+00:00
1740057300000	97272.15	97272.15	97272.15	97272.15	0	1740058199999	0	0	0	0	2025-02-20 13:15:00+00:00	2025-02-20 13:29:59.999000+00:00
1740058200000	97277.36	97277.36	97272.15	97272.15	0.01537	1740059099999	1495.1113953	3	0	0	2025-02-20 13:30:00+00:00	2025-02-20 13:44:59.999000+00:00
1740059100000	97272.15	97272.15	97272.15	97272.15	0	1740059999999	0	0	0	0	2025-02-20 13:45:00+00:00	2025-02-20 13:59:59.999000+00:00
1740060000000	97627.66	97627.66	97620.39	97620.39	0.00165	1740060899999	161.0817132	2	0	0	2025-02-20 14:00:00+00:00	2025-02-20 14:14:59.999000+00:00
1740060900000	97836.25	97849.75	97836.25	97849.75	0.00019	1740061799999	18.5902375	2	0	0	2025-02-20 14:15:00+00:00	2025-02-20 14:29:59.999000+00:00
1740061800000	97798.37	97798.37	97798.37	97798.37	0.00015	1740062699999	14.6697555	1	0	0	2025-02-20 14:30:00+00:00	2025-02-20 14:44:59.999000+00:00
1740062700000	97798.37	97798.37	97798.37	97798.37	0	1740063599999	0	0	0	0	2025-02-20 14:45:00+00:00	2025-02-20 14:59:59.999000+00:00
1740063600000	96981.21	96981.22	96981.21	96981.22	0.00262	1740064499999	254.0907814	2	0	0	2025-02-20 15:00:00+00:00	2025-02-20 15:14:59.999000+00:00
1740064500000	97119.04	97244	97119.04	97244	0.13825	1740065399999	13443.7712471	10	0.01131	1099.7465959	2025-02-20 15:15:00+00:00	2025-02-20 15:29:59.999000+00:00
1740065400000	97267.2	97358.41	97022.1	97022.1	0.04839	1740066299999	4705.2663457	5	0.03803	3700.1173897	2025-02-20 15:30:00+00:00	2025-02-20 15:44:59.999000+00:00
